Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
Live,"Mar 10, 2018 - May  6, 2018",2018,"Netflix,  tvN "," Saturday, Sunday",18,1 hr. 15 min.,15+ - Teens 15 or older,8.7,"The drama revolves around the incidents that occur in the police force and the joy, sorrow, and pain that police officers experience as they try to protect justice.","Friendship,  Comedy,  Romance,  Crime ","Teamwork, Violence, Strong Friendship, Slice Of Life, Policewoman, Strong Female Lead, Smart Female Lead, Male Chases Female First, Rape, Nice Male Lead","Kim Kyu Tae, Myung Hyun Woo",Noh Hee Kyung,"Lee Kwang Soo, Jung Yu Mi, Bae Sung Woo, Bae Jong Ok, Sung Dong Il, Jang Hyun Sung",GTist,#69
Tunnel,"Mar 25, 2017 - May 21, 2017",2017,OCN," Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.7,"In 1986, Park Gwang Ho works as an excellent and enthusiastic detective. His life changes when he’s pursuing leads in a serial homicide case and then passes through a time portal, which transports him to present day Seoul.  He meets a new partner Kim Sun Jae, an elite detective who happens to be a bit eccentric, but is one highly skilled investigator. The detective duo will also find help in psychology professor, Shin Jae Yi.","Thriller,  Mystery,  Sci-Fi,  Fantasy ","Time Travel, Murder, Criminal Profiler, Serial Killer, Bromance, Hardworking Male Lead, Hidden Identity, Strong Female Lead, Character Development, Slight Romance","Nam Ki Hoon, Shin Yong Hwi",Lee Eun Mi,"Choi Jin Hyuk, Yoon Hyun Min, Lee Yoo Young, Jo Hee Bong, Kim Byung Chul, Kang Ki Young",The Unicorn,#70
My Liberation Notes,"Apr 9, 2022 - May 29, 2022",2022,"jTBC, Netflix","Saturday, Sunday",16,1 hr. 7 min.,15+ - Teens 15 or older,8.6,"Set in Sanpo Village where more people leave than remain, the three Yeom siblings, Chang Hee, Mi Jung, and Ki Jung, wish to escape from a life rife with uncertainty. A mysterious man, Mr. Goo, moves into their neighbourhood. He is a drunkard with the look of someone with many burdens and secrets. His cautious personality and preference for keeping to himself make him the subject of gossip. Mi Jung, the youngest and most timid Yeom sibling, decides to approach him.","Romance, Life, Drama, Melodrama","Slow Burn Story, Loneliness, Introverted Female Lead, Alcoholic Male Lead, Slow Burn Romance, Alcoholism, Multiple Mains, Character Development, Inner Monologue, Multiple Couples",Kim Seok Yoon,Park Hae Young,"Kim Ji Won, Lee Min Ki, Son Seok Koo, Lee El, Lee Ki Woo, Chun Ho Jin","Studio Phoenix, Chorokbaem Media, SLL",#71
Partners for Justice 2,"Jun  3, 2019 - Jul 29, 2019",2019,MBC," Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.6,"In crime and in life, all contact leaves a trace. There is no perfect crime and our hero and heroine have the ultimate cooperation. This drama continues the tale of a forensic scientist and a prosecutor who make the best of teams.","Mystery,  Law,  Drama,  Medical ","Forensic Science, Prosecutor Female Lead, Doctor Male Lead, Rich Female Lead, Death, Murder, Investigation","Noh Do Cheol, Han Jin Sun","Jo Won Gi, Min Ji Eun","Jung Jae Young, Jung Yoo Mi, Oh Man Suk, Noh Min Woo, Kang Seung Hyun, Park Jun Gyu",HB Entertainment,#72
Jewel in the Palace,"Sep 15, 2003 - Mar 23, 2004",2003,MBC," Monday, Tuesday",54,1 hr. 5 min.,13+ - Teens 13 or older,8.6,"About 500 years ago during the time of Chosun Dynasty, Korea boasted a rigidly hierarchical and male dominated social structure. Based on a true story about a legendary girl, Jang Geum, who became the first woman to be the supreme royal physician of her times. Despite her poor condition as a low class girl in the male dominated society, Jang Geum overcame a series of social discrimination and landed herself as a royal cook, later becoming the royal physician, then ultimately the physician in charge of the king. She was even given by the king the title ""The Great Jang Geum."" The story of her checkered life on her success and breakdown as well as her love story beautifully unfold.","Food,  Historical,  Romance,  Medical ","Cooking, Strong Female Lead, Royal Rules And Etiquette, Joseon Dynasty, Royal Cook, Doctor Female Lead, Faithful Male Lead, Smart Female Lead, Melodrama, Drama",Lee Byung Hoon,Kim Young Hyun,"Lee Young Ae, Ji Jin Hee, Hong Ri Na, Im Ho, Yang  Mi Kyung, Kyeon Mi Ri",MBC,#73
"It's Okay, That's Love","Jul 23, 2014 - Sep 11, 2014",2014,SBS," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.6,"Despite being a bit of a prickly pear, Jang Jae Yeol has become famous for authoring mystery novels and for hosting a popular radio show. While sitting on a talk show panel with psychiatrist Ji Hae Soo, it became clear to all that the two just rubbed each other the wrong way. ","Psychological,  Comedy,  Romance,  Drama ","Strong Female Lead, Psychiatry, Mental Health, Trauma, Charming Male Lead, Healing, Adult Romance, Melodrama, Cohabitation, Housemates",Kim Kyu Tae,Noh Hee Kyung,"Jo In Sung, Gong Hyo Jin, Sung Dong Il, Lee Kwang Soo, Jin Kyung, Lee Sung Kyung","GT Entertainment, CJ ENM",#74
Little Women,"Sep 3, 2022 - Oct 9, 2022",2022,"Netflix, tvN","Saturday, Sunday",12,1 hr. 15 min.,15+ - Teens 15 or older,8.6,"About three sisters with a close bond who grew up in poverty. It is the exciting story of the sisters as they get embroiled in a major incident and face off against the wealthiest family in the nation. Kim Go Eun plays the eldest sister Oh In Joo, who wants to protect her family with money. Growing up in extreme poverty, her only dream was to live as well off as other normal people, but a major incident completely shakes up her life. Nam Ji Hyun takes on the role of the second sister Oh In Kyung, a news reporter who does not want to bow down to money and aims to always do what’s right. When a mysterious case from her early reporter days returns close to her, she starts digging for the truth. Park Ji Hu transforms into Oh In Hye, the youngest overwhelmed by the love of her older sisters who work hard for her. Although she has never even used decent art supplies due to their family’s financial situation, she enters an art high school with her natural talent.","Action, Thriller, Mystery, Drama","Female Centered Plot, Sisters' Relationship, Poor Female Lead, Poor Family, Multiple Mains, Reporter Female Lead, Investigation, Murder, Outcast Female Lead, Teenager Female Lead",Kim Hee Won,Jung Seo Kyung,"Kim Go Eun, Nam Ji Hyun, Park Ji Hoo, Wi Ha Joon, Uhm Ki Joon, Uhm Ji Won",Studio Dragon,#75
Ghost Doctor,"Jan 3, 2022 - Feb 22, 2022",2022,tvN,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Cha Young Min is a genius doctor, with excelling skills at surgery, but he is arrogant and selfish. One day, he gets involved in an accident and due to this, his spirit possesses another doctor's body, Seung Tak. These two doctors are complete opposites, with opposite personalities and medical abilities. Young Min is arrogant and cold-blooded, only cares about his career and doesn't care about any of his patient's personal stories. Seung Tak is the luckiest and richest resident doctor whose grandfather is the founder of Myung-shin hospital and whose mother is the chairman of the hospital. Never wanting to be a good doctor, he becomes possessed by a ghost doctor.","Comedy, Medical, Fantasy, Supernatural","Doctor Male Lead, Spirit, Bromance, Ghost, Spirit Possession, Doctor Female Lead, Arrogant Male Lead, Ghost-seeing Male Lead, Rich Male Lead, Slight Romance ",Boo Sung Chul,Kim Eun Hee,"Rain, Kim Bum, Uee, Son Na Eun, Sung Dong Il, Tae In Ho","Studio Dragon, Bon Factory Worldwide",#76
Eulachacha Waikiki,"Feb  5, 2018 - Apr 17, 2018",2018,jTBC," Monday, Tuesday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.6,"Three very different young men – Dong Goo, the bad luck incarnate who dreams of becoming a film director, Joon Ki, an eccentric actor who performs to make a living, and Doo Shik, a freelancer writer who fiddles around doing nothing most of the time - open a guest house named “Waikiki” in Itaewon where many foreigners come to stay.  Although they have no clue how to run it, they’re eager to earn money to pay for the production of their upcoming film.","Comedy,  Life,  Youth,  Drama ","Housemates, Bromance, Friends To Lovers, Motherhood, Cohabitation, Babysitting, Single Mother, Actor, Childhood Friends, Secondary Couple",Lee Chang Min,Kim Ki Ho,"Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo","C-JeS Entertainment, Drama House",#77
The Bridal Mask,"May 30, 2012 - Sep  6, 2012",2012,KBS2," Wednesday, Thursday",28,1 hr. 5 min.,15+ - Teens 15 or older,8.6,"Lee Kang To is an ambitious and callous Korean officer employed by the Japanese colonists. Despite his mother's disapproval of his work and his own brother's antagonistic history with the Japanese, Kang To continues to play by the colonist's rules in hopes of becoming successful and bringing his family out of poverty. However, a mysterious figure wearing a traditional Bridal Mask always seems to get in Kang To's way. The Bridal Mask appears as a Zorro-like figure who protects the people from the Japanese colonists' oppression and abuse of power. An unexpected turn of events brings Kang To to cross paths with the mysterious Bridal Mask, changing his future and the nation's history forever. ","Action,  Historical,  Romance,  Political ","Japanese Colonial Rule, Hidden Identity, Revenge, Rebellion, Murder, Love Triangle, Adapted From A Manhwa, Investigation, Drama, Sword-fight","Yoon Sung Shik, Cha Young Hoon",Yoo Hyun Mi,"Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin","Bridal Mask SPC, Pan Entertainment, KBS N",#78
Children of Nobody,"Nov 21, 2018 - Jan 16, 2019",2018,MBC," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.6,"Cha Woo Kyung is a child counselor who works at a children’s center. Her life seems perfect since she is married to a great husband and is pregnant. However, her perfect life doesn't last long, when an accident changes her life. She then meets Kang Ji Hun, a detective who is strict toward criminals and believes they should be punished to the full extent.","Thriller,  Mystery,  Psychological,  Crime,  Drama ","Trauma, Child Abuse, Smart Female Lead, Child Behavior Issues, Abuse, Murder, Tragic Past, Psychiatry, Child Abandonment, Domestic Violence",Choi Jung Gyu,Do Hyun Jung,"Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, N, Joo Seok Tae, Na Young Hee",Mega Monster,#79
Good Manager,"Jan 25, 2017 - Mar 30, 2017",2017,KBS2," Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.6,"Can corporate politics turn a bad person into a good person? Kim Sung Ryong is a skilled accountant who works for gangsters. He makes his way into a company called TQ Group as a middle manager in the accounting department with the intention of embezzling money from the company. As he contends with hot-shot accountant Yoon Ha Kyung, financial prodigy Seo Yul and peppy intern Hong Ga Eun, Sung Ryong finds himself embroiled in office politics and notices other shenanigans by those in power that threaten to bring down the company. Sung Ryong slowly comes to realize that he’d rather fight against corporate corruption and fight for employees’ rights than complete the mission he originally came to do. Can he succeed at his new objective against all odds?","Business,  Comedy,  Crime,  Drama ","Eccentric Male Lead, Corruption, Bromance, Social Satire, Smart Male Lead, Revenge, Accountant, Enemy Mine, Smart Female Lead, Strong Female Lead","Lee Jae Hoon, Choi Yoon Seok",Park Jae Bum,"Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun",Logos Film,#80
The King of Pigs,"Mar 18, 2022 - Apr 22, 2022",2022,tvN,Friday,12,55 min.,18+ Restricted (violence & profanity),8.6,"Two friends meet up and recall their experiences as victims of school bullying when they receive a message from a friend from 20 years ago and mysterious serial killings begin to occur. Kyung Min lives with the trauma of the school violence he experienced twenty years ago and an unexpected case causes his suppressed emotions to reappear. Meanwhile, Detective Jong Suk receives a mysterious message sent from a friend from 20 years ago which reminds him of the school violence that took place back then. Chasing the mysterious message, he tries to put a stop to the murders. Through these characters with tragic fates, the drama touches on the origin of school violence and the bullying that pervades modern society.","Thriller, Mystery, Drama","School Bullying, Detective Male Lead, Detective Female Lead, School Violence, Flashback To Past, Revenge, Gore, Murder, Childhood Trauma, Extreme Violence",Kim Dae Jin,Tak Jae Young,"Kim Dong Wook, Kim Sung Gyu, Chae Jung An, Choi Hyun Jin, Sim Hyun Seo, Lee Chan Yoo","Studio Dadashow, KT&G Sangsangmadang",#81
Big Mouth,"Jul 29, 2022 - Sep 17, 2022",2022,"Hulu, MBC","Friday, Saturday",16,1 hr. 11 min.,15+ - Teens 15 or older,8.6,"Park Chang Ho is known since his school days as ""Big Mouth"" because he talks big and promises big things but can not follow it up. He is also an infamous lawyer with a very low rate of success who was hired by a Mayor because of his incompetence. Unfortunately, he was framed as the notorious and mysterious swindler ""Big Mouse"" and sent to prison. Go Mi Ho is Park Chang Ho's loving wife who works as a nurse. She has strong personality and will do anything to prove the innocence of her husband and help solve the case the Mayor has given to her husband. Will Go Mi Ho be successful in proving her husband's innocence? Or, will her investigations lead to opening a can of worms?","Thriller, Mystery, Law, Drama","Suspense, Death, Investigation, Lawyer Male Lead, Murder, Brave Female Lead, Hardship, Greed, Wrongfully Accused, Mistaken Identity","Oh Choong Hwan, Bae Hyun Jin","Jang Young Chul, Jung Kyung Soon","Lee Jong Suk, Im Yoon Ah, Kim Joo Heon, Kwak Dong Yeon, Yang Kyung Won, Ok Ja Yeon","AStory, Studio Dragon, A-Man Project",#82
Go Back Couple,"Oct 13, 2017 - Nov 18, 2017",2017,KBS2," Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"38-years-old married couple, Choi Ban Do and Ma Jin Joo, were in love when they got married but now, hate each other and regret marrying at such a young age. Choi Ban Do has been burdened with being the breadwinner, and Ma Jin Joo is a housewife with low self-esteem. The couple travels through time and finds themselves as 20-year-old university students when they met for the first time.","Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ","Time Travel, Love/Hate Relationship, Marriage, Mother-Daughter Relationship, Misunderstanding, 1990s, Failing Marriage, Married Couple, Sassy Female Lead, Sismance",Ha Byung Hoon,Kwon Hye Joo,"Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol","Confession Couple S.P.C., KBS N, ZIUM Content Co. Ltd.",#83
Empress Ki,"Oct 28, 2013 - Apr 29, 2014",2013,MBC," Monday, Tuesday",51,1 hr. 5 min.,15+ - Teens 15 or older,8.6,"Genghis Khan built an empire that spanned vast regions in East Asia and East Europe. And there was one woman who held immense power in the Yuan Dynasty, which Genghis Khan founded, for 37 years. She was neither of Mongol descent nor from the Han Chinese. She came from Goryeo, a small kingdom in the Far East. She was taken to Mongol against her will as a Gungnyeo (palace women) but somehow overcame her lowly status to become the last  empress in another land. Her name was Empress Ki.","Historical,  Romance,  Melodrama,  Political ","Smart Female Lead, Strong Female Lead, Power Struggle, Possessive Male Lead, Love Triangle, Female Warrior, Yuan Dynasty, Revenge, Cross-Dressing, Goryeo Dynasty","Han Hee, Lee Sung Joon","Jang Young Chul, Jung Kyung Soon","Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Kim Ji Han, Kim Seo Hyung",Victory Contents,#84
My Father is Strange,"Mar  4, 2017 - Aug 27, 2017",2017,KBS2," Saturday, Sunday",52,1 hr. 6 min.,15+ - Teens 15 or older,8.6,"This drama is about a family that lives on the outskirts of Seoul. Byun Han Soo is the father and His wife, Na Yeong Shil is a dedicated, responsible mother to his three daughters and one son including Hye Yeong, Mi Yeong, Ra Yeong, and Joon Young. Suddenly one day, Ahn Joong Hee shows up at the household and declares that he is the son of the family. Joong Hee is an actor who used to be a member of an idol group. He begins to live with them.","Comedy,  Romance,  Drama,  Family ","Family Secret, Sisterhood, Eccentric Female Lead, Fake Incest, Multiple Couples, Strong Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Mother-Son Relationship, Father-Son Relationship",Lee Jae Sang,Lee Jung Sun,"Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min",iHQ,#85
Once Again,"Mar 28, 2020 - Sep 13, 2020",2020,KBS2," Saturday, Sunday",100,35 min.,15+ - Teens 15 or older,8.6,"""Once Again"" is the story of the eventful Song family who can’t get a day of peace and their neighbors in Yongju Market. ","Comedy,  Romance,  Drama,  Family ","Divorce, Family Relationship, Multiple Couples, Multiple Mains, Marriage, Slice Of Life, Married Couple, Age Gap, Sibling, Secret Relationship",Lee Jae Sang,Yang Hee Seung,"Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob","Bon Factory Worldwide, Studio Dragon",#86
Missing,"Aug 29, 2020 - Oct 11, 2020",2020,OCN," Saturday, Sunday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"A village holds spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs.","Thriller,  Mystery,  Supernatural ","Con Artist, Ghost-seeing Male Lead, Spirit, Missing Person, Detective, Hacker, Bromance, Social Justice, Righteous Male Lead, Death",Min Yeon Hong,"Ban Ki Ri, Jung So Young","Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee",Mays Entertainment,#87
Stranger 2,"Aug 15, 2020 - Oct  4, 2020",2020,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.6,"The prosecutor's office and the police find themselves on opposing sides. The prosecutors, including elite prosecutor Woo Tae Ha, want discretionary power over investigations. Meanwhile, the police, including Choi Bit, tries to get complete investigative authority that is independent of the prosecutor's office.","Thriller,  Mystery,  Law,  Drama ","Corruption, Calm Male Lead, Smart Male Lead, Suspense, Emotional Blunting, Power Struggle, Strong Female Lead, Strong Male Lead, Policewoman, Alexithymia",Park Hyun Suk,Lee Soo Yeon,"Jo Seung Woo, Bae Doo Na, Jeon Hye Jin, Choi Moo Sung, Lee Joon Hyuk, Yoon Se Ah","Signal Entertainment Group, IOK Media",#88
Designated Survivor,"Jul  1, 2019 - Aug 20, 2019",2019,"Netflix,  tvN "," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Park Moo Jin is a former professor of chemistry and now holds the Minister of Environment position. He doesn't have ambition, personal beliefs or political sense. One day, the cabinet is gathered in the National Assembly for the president's address. A terror attack takes place, killing many government officials, including the president and ministers. Park Moo Jin is the highest ranking government official left alive. He doesn't want the position, but he must sit as the acting president for 60 days. Park Moo Jin chases after the person or group responsible for the attack as he grows as a national leader.","Thriller,  Mystery,  Drama,  Political ","Power Struggle, Conspiracy, Blue House, Lying, Social Commentary, Terrorism, Deception, National Intelligence Service, National Assembly, Death",Yoo Jong Sun,Kim Tae Hee,"Ji Jin Hee, Son Seok Koo, Kang Han Na, Heo Joon Ho, Lee Joon Hyuk, Choi Yoon Young",DK E&M,#89
Juvenile Justice,"Feb 25, 2022",2022,Netflix,Friday,10,1 hr. 2 min.,18+ Restricted (violence & profanity),8.6,"Sim Eun Seok is an elite judge with a prickly personality who hates juvenile offenders. After she gets assigned to a local juvenile court, she tries to balance her aversion to minor offenders with firm beliefs on justice and punishment, as she goes out of her way to break custom and administer her own ways of punishing the offenders.","Law, Drama","Hardworking Female Lead, Strong Female Lead, Tough Female Lead, Kind Male Lead, Hardworking Male Lead, Redemption, Violence, Runaway Teenager, Justice System, Web Series",Hong Jong Chan,Kim Min Sook,"Kim Hye Soo, Kim Mu Yeol, Lee Sung Min, Lee Jung Eun, Lee Sang Hee, Park Ji Yun","Gill Pictures, GTist",#90
Cruel City,"May 27, 2013 - Jul 30, 2013",2013,jTBC," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.6,Portrays the cruel life of the drug cartels and the story of revenge for a loved one.,"Action,  Thriller,  Romance,  Crime ","Badass Male Lead, Gang, Bromance, Strong Female Lead, Gangster, Strong Male Lead, Smart Male Lead, Sismance, Steamy Kiss, Drug Dealer",Lee Jeong Hyo,Yoo Sung Yeol,"Jung Kyung Ho, Nam Gyu Ri, Lee Jae Yoon, Son Chang Min, Kim Yoo Mi, Choi Moo Sung",DRM Media,#91
My Love from the Star,"Dec 18, 2013 - Feb 27, 2014",2013,SBS," Wednesday, Thursday",21,58 min.,15+ - Teens 15 or older,8.6,"Do Min Joon is an alien who landed on Earth 400 years ago during the Joseon Dynasty period. He possesses a near perfect appearance and enhanced physical abilities involving his vision, hearing and speed. Later, he discovers that he has three months left on Earth. And that is when he meets Cheon Song Yi, the biggest Hallyu star in Korea.","Comedy,  Romance,  Drama,  Supernatural ","Alien, Interspecies Romance, Famous Actress, Celebrity, Professor, Sassy Female Lead, Superhuman Strength, Time Manipulation, Cyberbullying, Star Crossed Lovers","Oh Choong Hwan, Jang Tae Yoo",Park Ji Eun,"Kim Soo Hyun, Jun Ji Hyun, Park Hae Jin, Yoo In Na, Shin Sung Rok, Kim Chang Wan",HB Entertainment,#92
Mystic Pop-Up Bar,"May 20, 2020 - Jun 25, 2020",2020,"jTBC,  Netflix "," Wednesday, Thursday",12,1 hr. 8 min.,15+ - Teens 15 or older,8.6,“Mystic Pop-Up Bar” is based on a popular webtoon of the same name and tells the story of a mysterious pojangmacha (outdoor drinking establishment) run by a prickly woman and an innocent part-timer who visit customers in their dreams to help resolve their problems.,"Mystery,  Comedy,  Family,  Fantasy ","Afterlife, Tragic Past, Grudge, Hot-tempered Female Lead, Spirit, Adapted From A Webtoon, Special Power, Family Relationship, Flashback To Past, Food",Jun Chang Geun,Ha Yoon Ah,"Hwang Jung Eum, Yook Sung Jae, Choi Won Young, Jung Da Eun, Lee Joon Hyuk, Na In Woo","Drama House, Samhwa Networks",#93
Age of Youth,"Jul 22, 2016 - Aug 27, 2016",2016,jTBC," Friday, Saturday",12,60 min.,15+ - Teens 15 or older,8.6,"Five girls in their twenties come to live together in a house called ""Belle Epoque,"" which means ""a beautiful time"" in French. Each girl has a particular personality, background, and issues. In addition to the five girls, they believe there is a sixth presence - a ghost living in the house, but each sees the ghost differently. As the girls feel a bond of sympathy and become closer, they also deal with their personal issues as they live out their eventful twenties. The drama follows their struggles and incidents dealing with relationships - within their circles, with dating, and with each other - and a variety of events they are experiencing including credits, part-time jobs, drinking, hopes and dreams.","Friendship,  Romance,  Life,  Youth ","Housemates, Female Centered Plot, Sismance, Multiple Mains, College Life, Coming Of Age, Strong Female Lead, Strong Female Characters, Hardworking Female Lead, Multiple Couples",Lee Tae Gon,Park Yeon Sun,"Han Ye Ri, Ryu Hwa Young, Park Eun Bin, Han Seung Yeon, Park Hye Soo, Yoon Park","Drama House, Celltrion Entertainment",#94
Just Between Lovers,"Dec 11, 2017 - Jan 30, 2018",2017,jTBC," Monday, Tuesday",16,1 hr. 13 min.,15+ - Teens 15 or older,8.6,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever. ","Psychological,  Romance,  Melodrama ","Trauma, Healing, Survivor Guilt, Hardworking Female Lead, Strong Female Lead, Tearjerker, Hardworking Male Lead, Phobia, Disaster, Poor Male Lead",Kim Jin Won,Yoo Bo Ra,"Lee Jun Ho, Won Jin Ah, Lee Ki Woo, Kang Han Na, Kim Hye Joon, Yoon Se Ah",Celltrion Entertainment,#95
Save Me,"Aug  5, 2017 - Sep 24, 2017",2017,OCN," Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.6,"Following the failure of her father's business, Sang Mi and her family move to Muji-gun where they have no friends or relatives. There she meets four young men, Han Sang Hwan, Seok Dong Cheol, Woo Jung Hoon, and Choi Man Hee. When Sang Mi and her family face some trouble, Spiritual Father Baek Jung Ki of Goosunwon offers to help them. However, her family is slowly getting sucked into the pseudo-religious cult and the four young men try to save her.","Action,  Thriller,  Mystery,  Drama ","Cult, Adapted From A Webtoon, Church, Strong Female Lead, Bromance, School Bullying, Smart Female Lead, Deception, Strong Male Lead, Ex-convict",Kim Sung Soo,Jung Yi Do,"Seo Yea Ji, Ok Taec Yeon, Woo Do Hwan, Jo Sung Ha, Jo Jae Yoon, Park Ji Young",Hidden Sequence,#96
Bad and Crazy,"Dec 17, 2021 - Jan 28, 2022",2021,"iQiyi, tvN","Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Soo Yeol, the competent ‘bad boy’ on the police squad, regains his humanity after meeting K, the righteous but ‘crazy’ guy. Despite having a mere high school diploma, Soo Yeol is an accomplished member of the Anti Corruption Unit. He’s ambitious, so he chooses pet cases of his superiors and produces their desired outcomes. Often that means turning a blind eye to injustice, especially if it stands in the way of those preferred results. With promotion time looming and without anyone’s backing, Soo Yeol fears exclusion once again. Congressman Do Yoo Gon had given him some hope of advancement but dashed when the righteous but crazy K entered his life. What can go wrong when the bad boy and the crazy guy join forces?","Action, Thriller, Mystery, Comedy","Injustice, Corruption, Investigation, Eccentric Male Lead, Strong Male Lead, Antihero, Strong Female Lead, Slight Romance, Bromance, Suspense",Yoo Seon Dong,Kim Sae Bom,"Lee Dong Wook, Wi Ha Joon, Han Ji Eun, Cha Hak Yeon, Sung Ji Ru, Cha Shi Won","Studio Dragon, Mink Entertainment",#97
365,"Mar 23, 2020 - Apr 28, 2020",2020,MBC," Monday, Tuesday",24,35 min.,15+ - Teens 15 or older,8.6,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.","Thriller,  Mystery,  Drama,  Fantasy ","Strong Female Lead, Time Travel, Nice Male Lead, Suspense, Murder, Detective, Fate, Supernatural, Accident, Webtoon Writer",Kim Kyung Hee,"Lee Seo Yoon, Lee Soo Kyung","Lee Joon Hyuk, Nam Ji Hyun, Kim Jee Soo, Lee Sung Wook, Yoon Joo Sang, Ahn Seung Gyun",HB Entertainment,#98
The Master's Sun,"Aug  7, 2013 - Oct  3, 2013",2013,SBS," Wednesday, Thursday",17,1 hr. 2 min.,15+ - Teens 15 or older,8.6,"Joo Joong Won is the stingy and greedy CEO of Kingdom, a conglomerate that includes a major department store and hotel. He meets the gloomy Tae Gong Shil, who started seeing ghosts after an accident. Their lives take a new turn as they work together to deal with the terror and sadness brought about by the spirits, while delving into a kidnapping incident in Joong Won's past. And unknowingly, they fell in love with each other. Edit Translation  English Français Español Português","Horror,  Comedy,  Romance,  Supernatural ","Ghost, Eccentric Female Lead, Rich Male Lead, Clingy Female Lead, Successful Male Lead, Obsession, Tragic Past, Trauma, Secondary Couple, Eccentric Male Lead",Jin Hyeok,"Hong Jung Eun, Hong Mi Ran","Gong Hyo Jin, So Ji Sub, Seo In Guk, Kim Yoo Ri, Choi Jung Woo, Kim  Mi Kyung",Bon Factory Worldwide ,#99
Avengers Social Club,"Oct 11, 2017 - Nov 16, 2017",2017,tvN," Wednesday, Thursday",12,60 min.,15+ - Teens 15 or older,8.6,"Features three women from different walks of life coming together for revenge: a middle-aged fish store owner who envisioned a better life for herself, a housewife, and an heiress who was raised like a delicate greenhouse flower. They’re an unlikely trio who would never otherwise meet, but they join forces to carry out their individual revenge. Although they start out as co-conspirators, along the way they’ll build a strong friendship.","Friendship,  Comedy,  Life,  Drama ","Revenge, Sismance, Female Centered Plot, Strong Female Lead, Strong Female Characters, Healing, Smart Male Lead, Mother-Son Relationship, Mother-Daughter Relationship, Tragic Past","Kwon Seok Jang, Kim Sang Ho","Kim Yi Ji, Hwang Da Eun","Lee Yo Won, Ra Mi Ran, Myung Se Bin, Lee Jun Young, Choi Byung Mo, Jang Yong",JS Pictures,#100
Rebel,"Jan 30, 2017 - May 16, 2017",2017,MBC," Monday, Tuesday",30,60 min.,15+ - Teens 15 or older,8.5,"“The culprit who is posing as a royal official is not stealing wealth. He is stealing the hearts and minds of your people, Your Majesty.” There was a divisive figure in the Joseon Dynasty who was a hero to the people but an enemy to the establishment. His name was Hong Gil Dong. King Yeonsangun had royal lineage but was reviled by his people while Hong Gil Dong was born as a slave but succeeded in winning over the hearts of the commoners. The struggle between these two men demonstrate the qualities that a true leader needs. This TV series portrays the life of Hong Gil Dong who survived in a hostile and tyrannical kingdom as he waged a fight against the powerful elites.","Action,  Thriller,  Historical,  Romance ","Rebellion, Joseon Dynasty, Strong Male Lead, Smart Male Lead, Corruption, Slave, Discrimination, Bromance, Superhuman Strength, Revenge",Kim Jin Man,Hwang Jin Young,"Yoon Kyun Sang, Chae Soo Bin, Kim Ji Suk, Lee Ha Nee, Kim Sang Joong, Shim Hee Sub","Hunus Entertainment, Hong Gil-dong SPC",#101
